index,kind,zil_name,japanese_source,my_english,infocom_zil
1,room,FOREST-2,周りを巨木で囲まれた薄暗い森{15}<1e:ff>{10}北の森は深くて踏み込め{13}鉄格子,"THIS IS A DIMLY LIT FOREST, WITH LARGE TREES ALL AROUND.","This is a dimly lit forest, with large trees all around."
2,room,MAZE-1,ここは曲がりくねった小道で、迷路の一部{05}どの道も同じに,"THIS IS PART OF A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.","This is part of a maze of twisty little passages, all alike."
3,room,DEAD-END-1,迷路の行き止まりに来て,YOU HAVE COME TO A DEAD END IN THE MAZE.,You have come to a dead end in the maze.
4,room,MACHINE-ROOM,ここは炭坑{05}これといった特徴はあり,THIS IS A NONDESCRIPT PART OF A COAL MINE.,(no static desc - auto-generated)
5,room,WINDING-PASSAGE,ここは湾曲した通路{05}東と北にだけ出口がある,THIS IS A WINDING PASSAGE. IT SEEMS THAT THERE ARE ONLY EXITS ON THE EAST AND NORTH.,This is a winding passage. It seems that there are only exits on the east and north.
7,obj,BROKEN-EGG,壊れかけた卵が,A CRACKED EGG IS HERE.,There is a somewhat ruined egg here.
8,obj,DIAMOND,大きな（しかもとても美しい）ダイヤモンドがここに,A LARGE (AND VERY BEAUTIFUL) DIAMOND IS HERE.,There is an enormous diamond (perfectly cut) here.
9,obj,HOT-BELL,地面には、真っ赤に焼けた黄銅のベルが転が,ON THE GROUND IS A RED HOT BRASS BELL.,On the ground is a red hot bell.
10,room,CLEARING,小さな開拓地に/東と西に伸びている森の道の途中にある開拓地{15}<1e:ff>,YOU ARE IN A SMALL CLEARING IN A WELL MARKED FOREST PATH THAT EXTENDS TO THE EAST AND WEST.,You are in a small clearing in a well marked forest path that extends to the east and west.
11,room,FOREST-1,ここは木がうっそうと繁っている森{05}東からはかすかに日光が入り込んで,"THIS IS A FOREST, WITH TREES IN ALL DIRECTIONS. TO THE EAST, THERE APPEARS TO BE SUNLIGHT.","This is a forest, with trees in all directions. To the east, there appears to be sunlight."
12,room,MOUNTAINS,木々がまばらになり、眼前に険しくて登れそうもない山が,"THE FOREST THINS OUT, REVEALING IMPASSABLE MOUNTAINS.","The forest thins out, revealing impassable mountains."
13,room,NORTH-OF-HOUSE,[YOU]は、白い家の北側に/こちら側にはドアがなく、壁の窓にはすべて板が打ちつけられて/北には狭い小道が木々をぬって伸びて,"YOU ARE FACING THE NORTH SIDE OF A WHITE HOUSE. THERE IS NO DOOR HERE, AND ALL THE WINDOWS ARE BOARDED UP. TO THE NORTH A NARROW PATH WINDS THROUGH THE TREES.","You are facing the north side of a white house. There is no door here, and all the windows are boarded up. To the north a narrow path winds through the trees."
14,room,PATH,薄暗い森に通じる道{05}道は北と南に伸びて/道の端に、特別大きな木が低い枝を広げながら立,"A PATH LEADS INTO A DIM FOREST, RUNNING NORTH AND SOUTH. AT THE EDGE OF THE PATH STANDS AN ESPECIALLY LARGE TREE, ITS LOW BRANCHES SPREAD WIDE.",This is a path winding through a dimly lit forest. The path heads north-south here. One particularly large tree with some low branches stands at the edge of the path.
15,room,SOUTH-OF-HOUSE,[YOU]は、白い家の南側に/こちら側にはドアがなく、壁の窓にはすべて板が打ちつけられて,"YOU ARE FACING THE SOUTH SIDE OF A WHITE HOUSE. THERE IS NO DOOR HERE, AND ALL THE WINDOWS ARE BOARDED.","You are facing the south side of a white house. There is no door here, and all the windows are boarded."
16,room,STONE-BARROW,[YOU]は堂々とした石塚の前に立{08}西の面には大きな石のドア石塚が開いて{11}すでに開いて{11}すでに開いて{11}すでに開いて{11}すでに開いて{11}すでに開いて{11}すでに<1e:07>トロルトロルトロルトロルトロルトロル真っ暗なので、中に何があるかわかり,YOU ARE STANDING IN FRONT OF A MASSIVE BARROW OF STONE. IN THE EAST FACE IS A HUGE STONE DOOR WHICH IS OPEN. YOU CANNOT SEE INTO THE DARK OF THE TOMB.,You are standing in front of a massive barrow of stone. In the east face is a huge stone door which is open. You cannot see into the dark of the tomb.
17,obj,LEAFLET,手紙が一通、地面に落ちて,A LETTER IS LYING ON THE GROUND.,(no static desc - auto-generated)
18,obj,LEAVES,地面には落葉が,ON THE GROUND IS A PILE OF FALLEN LEAVES.,On the ground is a pile of leaves.
19,room,ATTIC,屋根裏部屋{05}ただ一つの出口は下に向かっている階段だけ,THIS IS THE ATTIC. THE ONLY EXIT IS A STAIRWAY LEADING DOWN.,This is the attic. The only exit is a stairway leading down.
22,room,EAST-OF-CHASM,深い裂け目の東の端に/底は深く、見え{03}今いる道は東へ続き、狭い通路が北に向か,"YOU ARE ON THE EAST EDGE OF A CHASM, THE BOTTOM OF WHICH CANNOT BE SEEN. A NARROW PASSAGE GOES NORTH, AND THE PATH YOU ARE ON CONTINUES TO THE EAST.","You are on the east edge of a chasm, the bottom of which cannot be seen. A narrow passage goes north, and the path you are on continues to the east."
23,room,GALLERY,ここはギャラリー{05}ほとんどの絵は目の利く野蛮人によって盗まれて/野蛮人は北か西の出口から絵を持ち去った,THIS IS AN ART GALLERY. MOST OF THE PAINTINGS HAVE BEEN STOLEN BY VANDALS WITH EXCEPTIONAL TASTE. THE VANDALS LEFT THROUGH EITHER THE NORTH OR WEST EXITS.,This is an art gallery. Most of the paintings have been stolen by vandals with exceptional taste. The vandals left through either the north or west exits.
24,room,STUDIO,ここは芸術家のアトリエの{04}壁や床には６９色の違った色がはねとんで/たいへん不思議なことに、ここには高価なものはなに一つ飾ってあり{03}部屋の南端には（これも色を塗られた）開いたドアが{06}暗く狭い煙突は暖炉から続いて/上に登ることはできますが、下には降りられないでしょう。,"THIS APPEARS TO HAVE BEEN AN ARTIST'S STUDIO. THE WALLS AND FLOORS ARE SPLATTERED WITH PAINTS OF 69 DIFFERENT COLORS. STRANGELY ENOUGH, NOTHING OF VALUE IS HANGING HERE. AT THE SOUTH END OF THE ROOM IS AN OPEN DOOR (ALSO COVERED WITH PAINT). A DARK AND NARROW CHIMNEY LEADS UP FROM A FIREPLACE.","This appears to have been an artist's studio. The walls and floors are splattered with paints of 69 different colors. Strangely enough, nothing of value is hanging here. At the south end of the room is an open door (also covered with paint). A dark and narrow chimney leads up from a fireplace; although you might be able to get up it, it seems unlikely you could get back down."
