msg777_index,japanese_decoded,my_english_draft
0,{開拓地}{北の森は深くて踏み込め}[鉄格子]は閉まっています！<1c>そちらには行け<03><1c>,THE [GRATING] IS CLOSED! YOU CAN'T GO THAT WAY.
33,{#の上}それ以上は登れ<13>,YOU CANNOT CLIMB ANY HIGHER.
36,{武ｼ}[ドア]には[板]が打ちつけられていて、はがせ<13>,"THE [DOOR] IS BOARDED, AND YOU CAN'T REMOVE THE [BOARDS]."
42,{台所}サンタクロースだけが[煙突]を降りることができます。,ONLY SANTA CLAUS CAN GO DOWN THE [CHIMNEY].
45,{リビングルーム}[ドア]は釘で打ちつけられて<11>,THE [DOOR] IS NAILED SHUT.
48,{地下室}<YOU>は[すべり台]をよじ登ろうとしますが…駄目<05>滑り落ちて<17>,"YOU TRY TO SCRAMBLE UP THE [SLIDE], BUT FAIL, AND SLIDE BACK DOWN."
51,{Nの東}[裂け目]は地獄に続いているのでしょう。,THE [CHASM] PROBABLY LEADS DOWN INTO HELL.
135,{貯水池}[ダム]が<YOU>の行く手をはばんで<11>,THE [DAM] BLOCKS YOUR WAY.
144,{小川の見える所}小川は、小さな岩の間から流れ出て<01>岩の間には入れ<13>,THE STREAM ISSUES FROM BETWEEN SMALL ROCKS; YOU CAN'T SQUEEZE IN.
174,{裂け目}気でも違ったのですか？,HAVE YOU LOST YOUR MIND?
177,{じめじめした部屋}虫にでもなれば、何とか通れるんでしょうけど。,"IF YOU WERE AN INSECT, YOU MIGHT JUST SQUEEZE THROUGH."
201,{ドームの部屋}骨折でもしない限り、下に下りることはでき<13>,"UNLESS YOU FANCY A BROKEN BONE, YOU CAN'T GET DOWN THERE."
213,{祭壇}穴が小さくて棺を持って降りられ<13>,THE HOLE IS TOO SMALL TO CARRY THE COFFIN DOWN.
228,{アラゲイン滝}長い道のり…,A LONG WAY DOWN...
303,{たて穴の部屋}そこに入るのは難しいですね。入ったとしたら、落ちて死んでしまうでしょう。,"IT WOULD BE HARD TO GET IN THERE. IF YOU DID, YOU WOULD FALL TO YOUR DEATH."
336,{地面}ここの[地面]は硬すぎて掘れ<03><1c>,THE [GROUND] HERE IS TOO HARD TO DIG.
360,{通路}進む方向をはっきりしなくてはなり<03><1c>私は手を貸せ<03><1c>でき<03><1c>,YOU MUST SAY WHICH WAY TO GO. I CAN'T HELP YOU WITH THAT.
423,{階段}上に行きたいのか下に行きたいのか言ってください。<1c>,SAY WHETHER YOU WANT TO GO UP OR DOWN.
462,真っ赤に焼けた{ベル},A RED HOT [BELL].
468,{そんなもの}[そんなもの]はありません！<1c>ここには,THERE IS NO SUCH THING HERE.
505,<YOU>のそばの枝には小さな[鳥の巣]が<16>,ON A BRANCH BESIDE YOU IS A SMALL [BIRD'S NEST].
511,ボトルが１本、[テーブル]の上に<16>,A BOTTLE IS SITTING ON THE [TABLE].
523,電池式の[]が[トロフィーケース]の上に<16>,A BATTERY-POWERED [LAMP] IS ON THE [TROPHY CASE].
529,[トロフィーケース]の中には、地図と思われる羊皮紙が<16>,IN THE [TROPHY CASE] IS A PARCHMENT WHICH APPEARS TO BE A MAP.
532,片隅に[ロープ]の大きな束が<16>,IN ONE CORNER IS A LARGE COIL OF [ROPE].
538,[テーブル]の上には、細長くて茶色い袋が<06>赤とうがらしの臭いがします。,"ON THE [TABLE] IS A LONG BROWN SACK, SMELLING OF HOT PEPPERS."
541,[トロフィーケース]の上には、とても古い[妖精の剣]がぶら下が<18>,ABOVE THE [TROPHY CASE] HANGS A VERY ANCIENT [ELVISH SWORD].
559,壁に軽く張りつけられているのは、紙の[説明書]<15>,LOOSELY ATTACHED TO THE WALL IS A PAPER [LEAFLET].
574,死んだ冒険家が持っていたらしい、使い物にならない燃えつきた[ランプ]が<16>,"THE DECEASED ADVENTURER'S USELESS, BURNED-OUT [LAMP] IS HERE."
580,[骸骨]のかたわらに[錆びた]が<16>,BESIDE THE [SKELETON] IS A [RUSTY KNIFE].
592,泥に半分埋まっているのは[古いトランク]<05>[宝石]がつま<18>,"HALF BURIED IN THE MUD IS AN [OLD TRUNK], BULGING WITH [JEWELS]."
601,[岸]辺には、ポセイドンの持ち物である[Fトライデント]が横たわ<18>,ON THE [SHORE] LIES POSEIDON'S OWN [TRIDENT].
